Time,S2,S3,S4,S5,S6,S7,S8,S9,S10
2023-03-13 19:32:00,0.64,0,19.22,14.12,851.5,0,0,0,-3.12
2023-03-13 19:31:55,0.64,0.74,19.22,14.12,851.5,40,11,0,-3.12
2023-03-13 19:31:50,0.62,0.74,19.22,14.12,851.5,40,10,0,-3.12
2023-03-13 19:31:45,0.66,0.74,19.22,14.12,851.5,40,10,0,-3.12
2023-03-13 19:31:40,0.5,0.74,19.61,14.12,847.5,40,10,0,-3.12
2023-03-13 19:31:35,0.38,0.74,19.22,14.12,851.5,40,11,-0.78,-3.12
2023-03-13 19:31:30,0.32,0.74,19.22,14.12,843.75,40,11,-0.78,-3.12
2023-03-13 19:31:25,0.32,0.74,19.22,14.12,843.75,40,11,-0.78,-3.12
2023-03-13 19:31:20,0.14,0.74,19.22,14.12,839.75,40,11,-0.78,-3.12
2023-03-13 19:31:15,0.1,0.74,19.22,14.12,835.75,41,12,-0.78,-3.12
2023-03-13 19:31:10,0.1,0.74,19.22,14.12,832,41,12,0,-3.12
2023-03-13 19:31:05,0.16,0.74,19.22,14.12,839.75,41,12,0,-3.12
2023-03-13 19:31:00,0.16,0.74,19.22,14.12,839.75,41,12,0,-3.12
2023-03-13 19:30:55,0.14,0.74,19.22,14.12,839.75,41,11,0,-3.12
2023-03-13 19:30:50,0.14,0.74,19.22,14.12,843.75,41,11,0,-3.12
2023-03-13 19:30:45,0.6,0.74,19.22,14.12,847.5,41,11,0,-3.12
2023-03-13 19:30:40,0.62,0.74,19.22,14.12,847.5,41,11,0,-3.12
2023-03-13 19:30:35,0.66,0.74,19.22,14.12,851.5,40,11,0,-3.12
2023-03-13 19:30:30,0.66,0.74,19.61,14.12,851.5,40,9,0,-3.12
2023-03-13 19:30:25,0.7,0.74,19.22,14.12,851.5,40,10,0,-3.12
2023-03-13 19:30:20,0.18,0.74,19.22,14.12,847.5,40,11,-0.78,-3.12
2023-03-13 19:30:15,0.1,0.74,19.22,14.12,851.5,40,10,0,-3.12
2023-03-13 19:30:10,0.22,0.74,19.22,14.12,847.5,40,11,0,-3.12
2023-03-13 19:30:05,0.18,0.74,19.61,14.12,847.5,40,11,0,-3.12
2023-03-13 19:30:00,0.14,0.74,19.22,14.12,851.5,40,11,0,-3.12
2023-03-13 19:29:55,0.34,0.74,19.22,14.12,847.5,40,11,0,-3.12
2023-03-13 19:29:50,0.6,0.74,19.22,14.12,851.5,40,10,0.78,-3.12
2023-03-13 19:29:45,0.6,0.74,19.61,14.12,851.5,40,10,0,-3.12
2023-03-13 19:29:40,0.6,0.74,19.61,14.12,851.5,40,10,0,-3.12
2023-03-13 19:29:35,0.64,0.74,19.22,14.12,851.5,40,10,0,-3.12
2023-03-13 19:29:30,0.64,0.74,19.22,14.12,851.5,40,9,0,-3.12
